nome,lat,lon,categoria,pessoas_estimadas,confianca,fonte,raciocinio
Universidade de Coimbra - Polo III - Faculdade de Farmácia (FFUC),40.2194533,-8.4176226,emprego,1789,boa,https://www.diariocoimbra.pt/2026/05/13/alunos-de-farmacia-tem-100-de-empregabilidade/ (dado de 12 maio 2026),"CORRIGIDO/SOURCED nesta 2ª ronda - antes estava dentro do bloco genérico do Polo III. Número direto, recente (maio de 2026) e específico: 1.789 estudantes inscritos (2 licenciaturas + 9 mestrados + Mestrado Integrado em Ciências Farmacêuticas com 1.195 + doutoramento). É o número com melhor confiança de todo este ficheiro."
"Universidade de Coimbra - Faculdade de Ciências do Desporto e Educação Física (FCDEF, no Estádio Universitário)",40.203809,-8.407904,emprego,800,media,https://www.uc.pt/fcdef/ (>800 estudantes nos 3 ciclos de estudo),"NOVA nesta 2ª ronda. Número direto da própria faculdade ('mais de 800 estudantes'). Coordenada = STADIUM_COORD já usado em config.py, porque a FCDEF funciona literalmente dentro do Estádio Universitário de Coimbra (Pavilhão 3) - não é uma aproximação, é a localização real."
IPC - ISEC (Instituto Superior de Engenharia de Coimbra),40.1922988,-8.4115939,emprego,3630,baixa,IPC total ~11.000 estudantes (fonte institucional); 904 novos alunos matriculados em 2020/21 (isec.pt) como indicador de dimensão relativa,"MELHORADO nesta 2ª ronda - já não é uma % arbitrária. Usei o nº de NOVOS alunos por escola (2020/21, o único ano com dados comparáveis encontrados: ISEC 904, ESAC 451, ESTeSC 415, ESEC ~501, ISCAC sem dado → assumi ~450 por semelhança de dimensão) como proxy da dimensão relativa de cada escola, e distribuí o total do IPC (~11.000) nessa proporção. ISEC fica com ~33% (904/2.721) = ~3.630. Continua a ser uma estimativa - os 'novos alunos' não são o total de inscritos e são de um ano específico, mas é mais defensável que um palpite direto de %."
IPC - ESEC (Escola Superior de Educação),40.2055099,-8.4052702,emprego,2030,baixa,483 novos alunos em 2022/23 (esec.pt) como indicador de dimensão relativa,"~18% do total do IPC (501/2.721), mesmo método da entrada do ISEC acima."
IPC - ISCAC (Coimbra Business School),40.209627,-8.4528721,emprego,1820,baixa,Sem dado de novos alunos recente encontrado - assumido comparável a ESEC/ESAC,"~17% do total do IPC (450 assumido/2.721), mesmo método. Esta é a entrada menos fundamentada das 5 escolas do IPC porque não encontrei nenhum número de admissões recentes para o ISCAC (só um valor histórico de 1996, 1.691 alunos, demasiado antigo para usar)."
IPC - ESTeSC (Escola Superior de Tecnologia da Saúde),40.1982491,-8.4608486,emprego,1680,baixa,415 novos alunos (estesc.ipc.pt) como indicador de dimensão relativa,"~15% do total do IPC (415/2.721), mesmo método."
"IPC - ESAC (Escola Superior Agrária, Bencanta)",40.2141881,-8.4512358,emprego,1820,baixa,451 novos alunos (esac.pt) como indicador de dimensão relativa,"~17% do total do IPC (451/2.721), mesmo método. Nota: o resultado do geocoding classificou a coordenada como paragem de autocarro perto da escola, não o edifício em si - aproximada, vale a pena confirmar."
"Instituto Pedro Nunes (IPN) + Talkdesk (mesmo edifício, Edifício IPN D)",40.1908676,-8.4124102,emprego,1100,baixa,Nominatim/OpenStreetMap para coordenadas; ranking distrital de empresas (Diário As Beiras) para Talkdesk,"Sem alteração na 2ª ronda - não encontrei dados novos. Talkdesk Inc. Portugal tem 727 colaboradores segundo o ranking das maiores empresas do distrito (confiança boa para esta parte, é dado direto). Somei ~350-400 pessoas adicionais como estimativa grosseira para as restantes empresas incubadas/aceleradas no IPN (>200 startups desde 1991, sem total de colaboradores atuais publicado) - esta segunda parte continua a ser um palpite."
"Critical Software (sede atual, Parque Industrial de Taveiro)",40.1972592,-8.5109848,emprego,650,baixa,"Indeed (faixa 501-1.000 colaboradores globais, 13 localizações); Jornal do Centro (mudança prevista)","Sem alteração na 2ª ronda. Ponto médio da faixa 501-1.000 encontrada para a empresa GLOBAL - não é claramente o headcount só de Coimbra, é o melhor proxy disponível. Projeto de nova sede no centro da cidade prevê acolher 525 trabalhadores - quando isso acontecer este ponto deve ser substituído."
"Parque Industrial de Taveiro (restantes ~57 empresas, excluindo Critical Software)",40.1972592,-8.5109848,emprego,900,baixa,Câmara Municipal de Coimbra (nº de lotes/empresas),"Sem alteração na 2ª ronda - continua a ser a estimativa menos fundamentada deste ficheiro. ~58 empresas instaladas (178.018 m², 57 lotes); assumindo uma média grosseira de 15-20 trabalhadores por empresa (maioria PME), menos a Critical Software já contabilizada em separado. Só uma ordem de grandeza a partir do nº de lotes, sem qualquer dado de emprego real. NOTA: confirmei nesta ronda que a nova loja IKEA de Coimbra (ver ponto próprio abaixo) NÃO fica dentro deste parque - fica no 'Mondego Retail Park', em Taveiro mas um local distinto - não contar a IKEA aqui."
Câmara Municipal de Coimbra (Paços do Concelho),40.2111836,-8.4287801,emprego,500,baixa,Nominatim/OpenStreetMap para coordenadas; coimbra.pt - Mapa de Pessoal 2025 aprovado prevê 2.575 trabalhadores,"CORRIGIDO nesta 2ª ronda - encontrei agora o total OFICIAL: o Mapa de Pessoal para 2025 (aprovado nov/2024) prevê 2.575 trabalhadores no TOTAL da Câmara Municipal (confiança boa para este número). MAS este total está disperso por toda a estrutura municipal - escolas, equipamentos desportivos, bibliotecas, cemitérios, mercados, etc. - não só o edifício dos Paços do Concelho. O valor usado aqui (500) é só uma estimativa de quem trabalha NO EDIFÍCIO central (serviços administrativos, urbanismo, finanças, atendimento) - por isso a confiança geral desta entrada continua baixa, apesar do total de 2.575 ser sólido. Se quiseres modelar o emprego municipal completo, precisas de repartir os 2.575 pelas dezenas de equipamentos municipais, não só este ponto."
Forum Coimbra (centro comercial),40.2114224,-8.443268,outro,23300,media,"https://www.noticiasdecoimbra.pt/forum-coimbra-chega-aos-135-milhoes-de-visitantes/ (8,5M visitantes/ano); confirmado 141 lojas, 48.000 m² GLA","8.500.000 visitantes/ano ÷ 365 ≈ 23.300/dia. É uma MÉDIA simples - ignora sazonalidade (Natal, saldos) e o facto de fins de semana terem tipicamente 2-3x mais afluência que dias úteis. Sem alteração de valor na 2ª ronda, mas confirmei 141 lojas / 48.000 m² GLA, que usei para calibrar a estimativa do Alma Shopping abaixo."
"Alma Shopping (centro comercial, ex-Dolce Vita)",40.2041918,-8.4068611,outro,19800,baixa,"https://almashopping.pt/wp-content/uploads/2018/09/AP-Brochura-Alma-Shopping.pdf (114 lojas, 40.840 m² GLA)","CORRIGIDO nesta 2ª ronda - antes estava None. Encontrei a área bruta locável do Alma Shopping (40.840 m², brochura de 2018, pode estar desatualizada) e do Forum Coimbra (48.000 m², dado mais recente). Rácio de GLA: 40.840/48.000 ≈ 0,85. Apliquei esse rácio aos 8,5M visitantes/ano do Forum → ~7,2M/ano ≈ 19.800/dia. É uma estimativa por analogia (área de retalho como proxy de afluência), não uma medição - confiança baixa porque assume que a relação entre área e visitantes é igual nos dois centros, o que pode não ser verdade (localização, mix de lojas, estacionamento, etc. também importam)."
"CoimbraShopping (centro comercial, Vale das Flores)",40.1942091,-8.4096513,outro,13100,baixa,"https://news.cision.com/pt/sonae-sierra/ (gerido pela Sonae Sierra, 58 lojas, 27.048 m² GLA); Nominatim/OpenStreetMap para coordenadas (Avenida Mendes Silva, Vale das Flores, perto do ISEC)","NOVA nesta 3ª ronda - um 3º centro comercial que faltava no levantamento original (só tinha Forum e Alma Shopping). Mesmo método do Alma Shopping: rácio de GLA face ao Forum Coimbra (27.048/48.000 ≈ 0,56) aplicado aos 8,5M visitantes/ano do Forum → ~4,79M/ano ≈ 13.100/dia. Mesma ressalva de confiança baixa - é uma estimativa por analogia de área, não uma medição."
"IKEA Coimbra (Mondego Retail Park, Taveiro)",40.1972592,-8.5109848,outro,,baixa,https://www.coimbra.pt/2026/02/ikea-abre-nova-loja-em-coimbra-e-reforca-investimento-na-regiao-centro/ ; CNN Portugal (abertura dia 30 de julho de 2026),"NOVA nesta 2ª ronda - descoberta ao pesquisar o Parque Industrial de Taveiro. Loja ainda NÃO ABERTA à data desta pesquisa (abre a 30 de julho de 2026, hoje é 9 de julho de 2026) - por isso não há nenhum dado real de afluência. Formato 'pequena mas poderosa' (4.124 m², muito mais pequeno que um IKEA tradicional de 20.000-40.000 m²), 34 colaboradores. Não tentei estimar visitantes/dia por analogia com outras lojas IKEA porque este formato compacto não é comparável às lojas-tipo em que esse tipo de dado costuma existir. Coordenada aproximada (reutilizei a do Parque Industrial de Taveiro - o 'Mondego Retail Park' é um local distinto mas próximo, na mesma zona de Taveiro; não geocodifiquei especificamente). Voltar a esta entrada depois de 30 julho 2026, quando abrir."
IPO Coimbra (Instituto Português de Oncologia) - também local concorrido,40.217207,-8.41005,outro,,baixa,ver entrada de emprego do IPO Coimbra acima,"Nota de design: o IPO já está listado acima em 'emprego' (1.105 trabalhadores). Não dupliquei um número aqui para 'doentes/visitantes por dia' porque não encontrei esse dado - fica None para não inflacionar artificialmente o total combinando trabalhadores com visitantes sem base. Manter esta entrada é só para não esquecer que hospitais também atraem fluxo de doentes/acompanhantes distinto dos seus próprios trabalhadores, caso um dia se queira modelar isso à parte."
Mercado Municipal D. Pedro V,40.2114263,-8.4261548,outro,,baixa,Nominatim/OpenStreetMap (coordenadas apenas),"Sem alteração na 2ª ronda - continuo sem encontrar qualquer dado de afluência para este mercado, mesmo com pesquisa dedicada. Precisa de contacto direto com a Câmara Municipal, que o gere, antes de ter um número associado."
Estação Coimbra-B,40.22521,-8.4407,outro,1000,baixa,https://pt.wikipedia.org/wiki/Esta%C3%A7%C3%A3o_Ferrovi%C3%A1ria_de_Coimbra-B (coordenadas); estimativa de passageiros de fonte não-oficial,"Sem alteração na 2ª ronda - continuo sem confirmar este número junto da CP ou Infraestruturas de Portugal (fontes oficiais não publicam dados de passageiros por estação). Tratar como indicativo. Nota separada: os stops de Coimbra-B já fazem parte do grafo GTFS usado no resto do projeto, por isso incluir isto como 'destino' na população duplica-o parcialmente com o que já é modelado como nó de transporte - só faz sentido se quiseres tratar explicitamente a estação como atrator de viagens, não como paragem de origem."
